1.18532 -0.165786 DEXfl0320
1.20386 -0.16585 DEXfl0321
1.22241 -0.165911 DEXfl0322
1.24094 -0.165967 DEXfl0323
1.25947 -0.166019 DEXfl0324
1.33354 -0.166192 DEXfl0325
1.37055 -0.166253 DEXfl0326
1.46302 -0.166339 DEXfl0327
1.48151 -0.166344 DEXfl0328
1.51849 -0.166344 DEXfl0329
1.59246 -0.1663 DEXfl0330
1.61096 -0.166278 DEXfl0331
1.62946 -0.166253 DEXfl0332
1.68497 -0.166153 DEXfl0333
1.722 -0.166067 DEXfl0334
1.77759 -0.165911 DEXfl0335
1.79614 -0.16585 DEXfl0336
1.81469 -0.165786 DEXfl0337
1.19459 +0 DEXfl0338
1.80541 +0 DEXfl0339
1.18532 +0.165786 DEXfl0340
1.20386 +0.16585 DEXfl0341
1.24094 +0.165967 DEXfl0342
1.25947 +0.166019 DEXfl0343
1.278 +0.166067 DEXfl0344
1.29651 +0.166114 DEXfl0345
1.31503 +0.166153 DEXfl0346
1.33354 +0.166192 DEXfl0347
1.38904 +0.166278 DEXfl0348
1.40754 +0.1663 DEXfl0349
1.42604 +0.166317 DEXfl0350
1.48151 +0.166344 DEXfl0351
1.5 +0.166347 DEXfl0352
1.51849 +0.166344 DEXfl0353
1.53698 +0.166339 DEXfl0354
1.59246 +0.1663 DEXfl0355
1.61096 +0.166278 DEXfl0356
1.62946 +0.166253 DEXfl0357
1.64796 +0.166222 DEXfl0358
1.66646 +0.166192 DEXfl0359
1.68497 +0.166153 DEXfl0360
1.70349 +0.166114 DEXfl0361
1.722 +0.166067 DEXfl0362
1.74053 +0.166019 DEXfl0363
1.75906 +0.165967 DEXfl0364
1.79614 +0.16585 DEXfl0365
1.81469 +0.165786 DEXfl0366
1.17604 +0.331506 DEXfl0367
1.19459 +0.331639 DEXfl0368
1.21314 +0.331764 DEXfl0369
1.23167 +0.331881 DEXfl0370
1.25021 +0.331989 DEXfl0371
1.26873 +0.332089 DEXfl0372
1.28726 +0.332183 DEXfl0373
1.30577 +0.332269 DEXfl0374
1.32428 +0.332347 DEXfl0375
1.34279 +0.332417 DEXfl0376
1.36129 +0.332478 DEXfl0377
1.3798 +0.332533 DEXfl0378
1.39829 +0.332581 DEXfl0379
1.41679 +0.332619 DEXfl0380
1.43528 +0.33265 DEXfl0381
1.45377 +0.332672 DEXfl0382
1.47226 +0.332689 DEXfl0383
1.49076 +0.332697 DEXfl0384
1.50924 +0.332697 DEXfl0385
1.52774 +0.332689 DEXfl0386
1.56472 +0.33265 DEXfl0387
1.58321 +0.332619 DEXfl0388
