20190727 017 NEP_19-2_field111a 58691.2038636263 17.929108 65 343.970154 409.076937001
20190727 018 NEP_19-2_field111b 58691.2198520326 17.931342 65 343.969954 409.703791489
20190728 015 NEP_19-2_field111b 58692.2003981411 17.931342 65 343.969754 468.677102422
20190728 016 NEP_19-2_field110d 58692.2173203896 17.968808 65.014167 344.144646 407.97689222
20190728 017 NEP_19-2_field106c 58692.2335459888 18.076733 65.014167 344.144646 407.550447999
20190728 018 NEP_19-2_field106d 58692.2510248017 18.074497 65.014167 344.144446 468.499303692
20190730 003 NEP_19-2_field107b 58694.2378357728 18.037033 65 343.971755 407.652921232
20190730 004 NEP_19-2_field107a 58694.2565582804 18.034797 65 343.971755 466.526138057
20190731 018 NEP_19-2_field107c 58695.2352578049 18.037033 65.014167 344.167267 407.734119484
20190731 019 NEP_19-2_field107d 58695.2553179655 18.034797 65.014167 344.15025 528.667271921
20190802 014 NEP_19-2_field110c 58697.1928341123 17.971042 65.014167 344.151853 588.225851662
20190802 015 NEP_19-2_field108a 58697.2112420234 18.021653 65 343.970556 408.228858779
20190802 016 NEP_19-2_field108c 58697.2277584434 18.023886 65.014167 344.145646 408.608197613
20190802 017 NEP_19-2_field108d 58697.248401525 18.021653 65.014167 344.145446 588.420964078
20190803 014 NEP_19-2_field110b 58698.1899754843 17.971042 65 343.970556 409.381206417
20190803 015 NEP_19-2_field109b 58698.2058829023 17.984186 65 343.970556 407.678725763
20190803 016 NEP_19-2_field109a 58698.2220896943 17.981953 65 343.970556 408.975339587
20190803 017 NEP_19-2_field109c 58698.2399084955 17.984186 65.014167 344.144244 468.207940943
20190805 014 NEP_19-2_field117b 58700.2128257747 18.165553 64.8 341.632796 408.02213394
20190805 015 NEP_19-2_field117a 58700.2312707142 18.163333 64.8 341.632796 469.551666228
20190806 015 NEP_19-2_field117c 58701.2485959027 18.165553 64.814167 341.789077 590.100282266
20190822 014 NEP_19-2_field108b 58717.1534824474 18.023886 65 343.969155 409.291795721
20190825 014 NEP_19-2_field109d_000_W 58720.1410775767 17.981953 65.014167 344.215125 407.580350223
20190825 015 NEP_19-2_field109d 58720.1594925383 17.981953 65.014167 344.151653 235.861249331
20190825 016 NEP_19-2_field113b 58720.1781898821 17.878497 65 343.969155 587.127249326
20190827 012 NEP_19-2_field117d_000_W 58722.1943713618 18.163333 64.814167 341.893454 528.418782717
