20170418 003  1.01 1.16 0.87  0.92 0.87 0.98   ;  ;
20170418 004  1.20 1.03 0.93  1.05 0.93 0.93   ;  ;
20170418 005  0.94 1.00 1.08  0.92 1.03 1.21   ;  ;
20170418 006  1.17 1.11 1.04  1.11 1.04 1.06   ;  ;
20170418 013  1.09 1.06 1.05  1.12 1.14 1.01   ;  ;
20170419 006  0.64 0.61 0.71  0.61 0.79 0.76   ;  ;
20170420 016  0.71 0.63 0.71  0.70 0.68 0.74   ;  ;
20170420 017  0.85 0.80 0.70  0.84 0.70 0.75   ;  ;
20170421 016  1.27 1.20 1.21  1.22 1.37 1.37  I should have used hetdex-dither not vlexp; I should have used hetdex-dither not vlexp; I should have used hetdex-dither not vlexp
20170421 017  1.31 1.28 1.35  1.29 1.34 1.32   ;  ;
20170423 008  1.44 1.22 2.01  1.83 2.08 1.67   ;  ;
20170423 009  1.52 1.72 1.99  1.42 1.77 1.64   ;  ;
20170423 013                                   ;  ;
20170423 014                                   ;  ;
20170423 015                                   ;  ;
20170423 016                                   ;  ;
20170424 007                                   ;  ;
20170424 008                                   ;  ;
20170424 009  1.18 1.60                        ;  ;
20170424 010       1.39 1.12  1.34      1.36   ;  ;
20170425 003                                  dither set cut short by dust; dither set cut short by dust; exposure cut short by closure due to dust
20170427 003  0.85 0.86 0.82  0.86 0.88 0.95   ;  ;
20170427 004  0.79 0.88 0.80  0.71 0.84 0.78   ;  ;
20170427 005  0.88 0.97 1.03  0.97 1.25 1.02   ;  ;
20170427 006  1.10 0.96 1.29  1.08 1.18 1.01  hit end of track;  ;
20170427 013  1.03 1.39 1.53  1.15 1.53 1.10   ;  ;
20170427 014  1.20 1.14 1.32  1.39 1.06 1.22   ;  ;
20170427 015  0.91 1.27 1.23  1.39 1.48 1.35   ;  ;
20170428 005                                   ;  ;
20170428 006            1.11                   ;  ;
20170428 007       0.95       0.95             ;  ;
20170428 019  0.97 0.97 1.04  0.85 0.89 1.01  thin clouds;  ;
20170428 020  1.03 1.01 1.02  1.01 1.04 1.13   ;  ;
20170501 009  1.10 1.00       0.93 0.95 1.09   ;  ;
20170501 011                                   ;  ;
20170501 012                                   ;  ;
20170502 009  0.79 0.91 0.80  0.85 0.79 0.75   ;  ;
20170502 010  0.87 0.78 0.77  0.74 0.73 0.70   ;  ;
20170502 011  0.72 0.69       0.69 0.75 0.92   ;  ;
20170502 012                                   ;  ;
20170503 007  0.82 0.85 0.80  0.85 0.80 0.92   ;  ;
20170503 008  0.75 0.86 0.99  0.77 0.99 0.90   ;  ;
20170503 009                            0.71   ;  ;
20170503 010  0.91            0.94             ;  ;
20170518 006  1.04 0.60 0.62  0.62 0.62 0.61   ;  ;
20170519 002  0.84 0.87 0.76  0.95 0.87 0.89   ;  ;
20170519 008       1.75 1.78       1.93 1.71   ;  ;
20170522 004  1.52 1.31 1.01  1.31 1.18 0.97   ;  ;
20170522 005  0.97 1.27 1.53  1.65 1.73 1.32   ;  ;
20170523 008            1.30            1.27   ;  ;
20170525 013  1.01 0.89 0.95  0.85 0.92 0.92   ;  ;
20170525 014  1.01 1.15 1.11  1.15 1.15        ;  ;
20170527 011  1.04 1.88 1.92  1.88 1.92 1.87   ;  ;
20170529 007  1.18 1.18 1.96  1.27 1.69        ;  ;
20170529 008       1.82 1.87  1.82 1.77 1.84   ;  ;
20170529 009  1.67 1.76 1.84  1.67 1.84 2.30   ;  ;
20170530 006                                   ;  ;
20170615 009  1.31 1.10 1.08  1.10 1.10 1.28  moon up; moon up; moon up
20170617 008  0.78 0.74 0.68  0.74 0.71 0.73   ;  ;
20170617 009  0.66                      0.85   ;  ;
20170621 007       0.92 0.95       0.91 0.91   ;  ;
20170621 008  1.05 1.04 1.00  1.04 0.98 1.01   ;  ;
20170625 005  0.99 1.04 0.91  0.96 0.91 1.06   ;  ;
20170625 006  1.06 1.10 1.13  0.99 1.13 1.30   ;  ;
20170626 003                                  extended exp for clouds; extended exp for clouds; extended exp for clouds
20170627 005  0.91 0.88 0.91  0.82 0.99 1.04   ;  ;
20170628 005  1.76 1.29 1.13  1.29 1.03 1.25   ;  ;
20170628 006  1.56 1.71 1.26  1.56 1.26 1.64   ;  ;
20170629 004  1.10 0.89 1.04  1.07 1.13 1.15   ;  ;
20170629 005  1.12 1.26 1.06  1.26 1.28 2.43   ;  ;
20170630 008  1.11 1.27 1.04  1.20 1.04 0.94   ;  ;
20170630 009  0.95 1.09 0.99  1.05 0.97 1.08   ;  ;
20170701 008                                  sky was to bright; sky was to bright; sky was to bright
20170701 009                                  sky was to bright; sky was to bright; sky was to bright
20170720 002                                  increased exposure for thin clouds and early in the track.; increased exposure for thin clouds and early in the track; increased exposure for thin clouds and early in the track
20170720 003                                  clouds in 2nd and 3rd exposures; clouds at the end of this exposure; fairly thick clouds at end of this exposure
20170820 006                                   ;  ;
20170830 014                                   ;  ;
20170920 007  0.79                 0.68 0.69  clouds;  ;
20170920 008  0.92 0.84 1.05  0.80 1.16 1.12   ;  ;
20170920 009  1.19 1.10 0.88  1.02 1.02 0.86   ;  ;
20170920 010  0.84 1.08       1.08             ;  ;
20170920 012  1.78 1.39 1.19  1.43 1.19 1.22   ;  ;
20170921 018  1.23 0.98 0.94  1.27 1.05 1.16  vlexp; vlexp; vlexp
20170921 020  1.17 1.16 1.31  1.35 1.37 1.34  hetdex-dither , only using 1 guider; hetdex-dither, only using 1 guider; hetdex-dither, only using 1 guider
20170921 021  1.22 1.36 1.12  1.26 1.07 1.63  vlexp, compensate=false; vlexp, compensate=false; vlexp, compensate=false
20170921 022  1.09 1.26 1.25  1.21 1.27 1.32  vlexp, compensate=false;  ; vlexp, compensate=false
20170921 025  1.19 1.11 1.05  1.12 1.20 1.15   ;  ;
20170921 026  1.02                             ;  ;
20170921 029  0.86 0.94 1.17  1.35 2.32 1.13   ; variable seeing;
20170922 021  1.25 1.42 0.82  1.07 0.92 0.98   ;  ;
20170922 022  0.98 0.88 0.99  0.98 0.99 1.23   ;  ;
20170922 023  1.38 1.11 1.01  1.39 1.01 0.94   ;  ;
20170922 025  1.02      1.02  1.11 1.02 1.00  double guiding; double guiding; double guiding
20170922 026  1.00 1.01 0.85  0.89 0.95 0.98   ;  ;
20170922 027  0.99 0.92 0.97  1.00 0.97 1.02   ;  ;
20170922 028  1.14 0.97 0.96  0.97 0.90 1.18  double guiding; double guiding; double guiding
20170922 030  0.80 0.90 0.93  0.77 1.07 0.84   ;  ;
20170922 031  0.96 0.86 0.91  0.89 0.99 1.12   ;  ;
20170923 014  1.18 1.17 1.13  1.04 1.18 1.44   ;  ;
20170923 015  1.17 1.02 1.00  1.02 1.21 0.93   ;  ;
20170923 016  0.85 0.94 1.04  0.94 1.13 0.82   ;  ;
20170923 017  0.93 1.12 1.35  1.40 1.45 1.79   ;  ;
20170923 018  1.49 1.25       1.33      1.36   ;  ;
20170923 019  1.58 1.34 0.99  1.17 0.99 1.14   ;  ;
20170923 020  1.21 1.10 1.04  1.17 1.08 0.93   ;  ;
20170923 021  1.02 0.98 0.85  0.90 0.93 1.08   ;  ;
20170923 022  1.23 1.02 1.13  1.08 1.02 1.18   ;  ;
20170923 023  1.24 1.08 1.10  1.20 1.12 1.09  late in the track; late in the track; late in the track
20171012 014  0.61 0.59 0.56  0.58 0.68 0.68   ;  ;
20171012 015  0.54 0.77 0.86  0.83 0.86 0.69   ;  ;
20171012 016  0.72 0.93       0.93             ;  ;
20171012 017                                   ;  ;
20171013 012  1.11 0.76 0.92  1.09 0.83 0.97   ;  ;
20171013 014  0.79 0.98 0.69  0.99 0.69 0.83   ;  ;
20171013 015  0.88 1.01 0.85  1.18 1.03 0.81   ;  ;
20171013 016  0.91 0.87 0.84  0.89 0.84 1.04   ;  ;
20171013 018  0.86 1.14 1.33  1.11 1.16 1.08   ;  ;
20171014 004  0.70 1.03 1.06  1.03 1.06 0.72   ;  ;
20171014 005  0.78 0.67 0.67  0.73 0.67 0.75  tcs problem getting track to start;  ;
20171014 006  0.72 0.73 0.89  0.67 0.95 0.73   ;  ;
20171014 007  0.84 0.79 0.83  0.76 0.87 0.84  track ended early; track ended early?; track ended early
20171014 008  1.08 0.85 0.97  0.85 0.98 0.97   ;  ;
20171015 004  0.70 0.67 0.85  0.71 0.84 1.02   ;  ;
20171015 005       0.79 0.84  0.74 0.77 1.33   ;  ;
20171015 006  0.89 0.87 0.86  0.83 0.92 0.89   ;  ;
20171015 007  0.87 0.69 0.59  0.69 0.58 0.66  heavy clouds move in on disther3; heavy clouds on dither 3; clouds move in quickly
20171016 108       1.85 1.88  1.85 1.71 1.70   ;  ;
20171016 110  1.70 1.67 1.40  1.65 1.40 1.34   ;  ;
20171016 111  1.27 1.23 1.85  1.26 2.23 1.21   ;  ;
20171016 114  1.42            1.36            bad readout in dither 3; bad readout in dither 3; bad readout in dither 3
