10	20170103 virus0000002 9.9924 1.886055 212.198053 57756.4738290752 COS10_W_000_W
10	20170103 virus0000003 10.0323 2.483722 213.731265 57756.4922969812 COS64_W
11	20170105 virus0000008 9.9848 2.591758 146.000192 57758.3470058739 COS57_E
11	20170105 virus0000009 9.9981 2.090136 147.273449 57758.368965684 COS19_E_000_E
11	20170105 virus0000010 9.9858 1.786439 211.93382 57758.4687778605 COS1_W
11	20170105 virus0000011 10.0191 1.886055 212.19548 57758.4888906879 COS14_W
11	20170106 virus0000001 9.9914 2.090136 147.274812 57759.3453889503 COS18_E
11	20170106 virus0000002 9.9914 1.989807 147.535585 57759.3662047 COS10_E
11	20170106 virus0000003 9.9992 1.98525 212.457043 57759.4857905563 COS19_W
11	20170107 virus0000012 9.9981 1.989807 147.535505 57760.346539434 COS11_E
11	20170107 virus0000013 10.0114 1.989807 147.535505 57760.3683171072 COS13_E
11	20170124 virus0000013 10.0113 2.290796 146.761246 57777.3208476454 COS37_E
11	20170127 virus0000007 10.0113 2.491428 146.255391 57780.2800953877 COS53_E
11	20170127 virus0000008 10.0113 2.290796 146.761246 57780.3051592158 COS37_E
11	20170129 virus0000002 10.0181 2.491428 146.254992 57782.2938731122 COS54_E_000_E
11	20170130 virus0000023 10.0123 2.184847 212.971857 57783.4020988215 COS37_W-000
11	20170130 virus0000024 10.019 2.384079 213.478704 57783.4217174733 COS54_W-000
10	20170131 virus0000032 10.0181 2.391126 146.50796 57784.2857423089 COS46_E-000
10	20170131 virus0000034 10.019 2.184847 212.971697 57784.4054014166 COS38_W-000
13	20170202 virus0000002 10.0113 2.491428 146.254992 57786.2708312641 COS53b_E
13	20170202 virus0000003 10.0113 2.290796 146.761246 57786.2895329297 COS37b_E
12	20170221 virus0000010 10.0113 2.491428 146.255551 57805.2168387808 COS53c_E
12	20170221 virus0000015 10.0123 2.384079 213.478224 57805.3504891973 COS53b_W
13	20170222 virus0000007 10.0113 2.290796 146.764367 57806.215038504 COS37c_E
13	20170222 virus0000008 10.0113 2.391126 146.510199 57806.2351629394 COS45_E
13	20170225 virus0000007 10.0181 2.290796 146.762767 57809.2189277667 COS38_E3907
14	20170321 virus0000012 10.0124 2.184444 212.969933 57833.2796937567 COS37b_W
14	20170322 virus0000010 10.0124 2.383667 213.478544 57834.2808776712 COS53c_W
14	20170326 virus0000006 10.0124 2.184444 212.968169 57838.2444411865 COS37c_W
14	20170326 virus0000007 10.0191 2.284056 213.22312 57838.2641174165 COS46_W
15	20170331 virus0000006 10.0124 2.284056 213.224242 57843.2397423945 COS45_W-000_000_W
14	20170418 virus0000004 10.0122 1.890281 212.202798 57861.1986653581 COS06_W-000_000_W
25	20171220 virus0000015 10.00472 2.155 147.111389 58107.416135855 COSDEEP1_000_E
26	20171221 virus0000016 10.00472 2.155 147.113393 58108.4103617049 COSDEEP1_000_E
29	20171222 virus0000013 10.00472 2.155 147.113153 58109.3894710471 COSDEEP1_000_E
29	20171225 virus0000015 10.00472 2.155 147.112351 58112.3889541561 COSDEEP1_000_E
28	20180110 virus0000021 10.00472 2.155 147.114915 58128.3482833216 COSDEEP1_000_E
27	20180113 virus0000013 10.00472 2.155 147.116037 58131.3426292581 COSDEEP1_000_E
26	20180114 virus0000013 10.00472 2.155 147.116678 58132.3343154625 COSDEEP1_000_E
28	20180120 virus0000008 10.00472 2.155 147.116918 58138.3173780316 COSDEEP1_000_E
27	20180123 virus0000009 10.00472 2.155 147.116037 58141.3085839502 COSDEEP1_000_E
22	20180124 virus0000010 10.00472 2.155 147.116838 58142.3010258744 COSDEEP1_000_E
28	20180209 virus0000009 10.00472 2.155 147.116918 58158.266111494 COSDEEP1_000_E
27	20180210 virus0000006 10.00472 2.155 147.116999 58159.2655415228 COSDEEP1_000_E
