201808sci:/work/03946/hetdex/maverick/20180820/virus/virus0000018/exp03/virus/20180820T084845.7_105LL_sci.fits HF00127_E 427.597333504 462.331533072 58350.3671963597 0.868667 -0.15 153.454499 148.691378 -104.987446978688 21.0361111111111
201808sci:/work/03946/hetdex/maverick/20180820/virus/virus0000020/exp03/virus/20180820T092334.1_105LL_sci.fits HF00157_E 546.750383872 582.432791274 58350.3913672636 1.408667 -0.15 153.454499 148.691378 -105.000484079123 21.0777777777778
201808sci:/work/03946/hetdex/maverick/20180820/virus/virus0000022/exp03/virus/20180820T101716.8_105LL_sci.fits HF00202_E 546.748158976 582.554792634 58350.4286677307 2.218667 -0.15 153.454499 148.691378 -104.991792678833 21.06
201808sci:/work/03946/hetdex/maverick/20180820/virus/virus0000023/exp03/virus/20180820T104554.2_105LL_sci.fits HF00208_W 366.899274752 402.079647304 58350.4485448045 0.472667 0.15 207.4882 212.458733 -105.017866879702 20.6361111111111
201808sci:/work/03946/hetdex/maverick/20180821/virus/virus0000018/exp03/virus/20180821T080549.2_105LL_sci.fits HF00109_E 366.897174272 402.282900305 58351.3373750942 0.544667 -0.15 153.456794 148.694174 -105.004829779267 18.4583333333333
201808sci:/work/03946/hetdex/maverick/20180821/virus/virus0000019/exp03/virus/20180821T082904.8_105LL_sci.fits HF00114_E 367.148169472 402.734607708 58351.3535278947 0.634667 -0.15 153.456713 148.694075 -105.009175479412 18.2694444444444
201808sci:/work/03946/hetdex/maverick/20180821/virus/virus0000021/exp03/virus/20180821T090549.1_105LL_sci.fits HF00150_E_000_E 367.79794176 403.406079335 58351.3790415092 1.282667 -0.15 153.144757 148.313892 -105.004829779267 17.8933333333333
201808sci:/work/03946/hetdex/maverick/20180821/virus/virus0000022/exp03/virus/20180821T092949.7_105LL_sci.fits HF00170_E 366.999329792 402.204778042 58351.3957147393 1.642667 -0.15 153.144675 148.313792 -105.013521179557 17.8072222222222
201808sci:/work/03946/hetdex/maverick/20180821/virus/virus0000023/exp03/virus/20180821T095326.4_105LL_sci.fits HF00192_E 367.199234816 402.88104744 58351.4121112605 2.038667 -0.15 153.144675 148.313792 -105.000484079123 17.7872222222222
201808sci:/work/03946/hetdex/maverick/20180821/virus/virus0000028/exp03/virus/20180821T105554.9_105LL_sci.fits HF00220_W_000_W 366.950269952 403.068609172 58351.4554972714 0.688667 0.15 207.804604 212.845585 -105.013521179557 17.9761111111111
