  0.212   0.071   1.218  -0.397   1.000   0.325 20180214 009
  0.415   0.019   1.103  -0.258   0.912   0.240 20180214 010
  0.224   0.052   1.320  -0.414   0.885   0.362 20180214 011
  0.737   0.138   0.643  -0.007   1.049  -0.131 20180214 012
 -0.022  -0.009   1.162  -0.617   1.291   0.626 20180215 004
 -0.008   0.028   1.230  -0.697   1.208   0.668 20180215 005
 -0.021   0.046   1.291  -0.662   1.159   0.615 20180215 006
  0.018   0.134   1.182  -0.765   1.230   0.631 20180215 007
 -0.042   0.161   1.229  -0.761   1.244   0.600 20180215 008
 -0.027  -0.047   1.163  -0.698   1.294   0.746 20180215 009
 -0.091   0.120   1.247  -0.819   1.273   0.700 20180215 010
 -0.068   0.041   1.232  -0.793   1.267   0.752 20180215 011
  0.121  -0.048   1.159  -0.574   1.151   0.622 20180215 012
 -0.024   0.034   1.210  -0.741   1.243   0.707 20180215 013
 -0.098  -0.069   1.249  -0.698   1.278   0.766 20180215 014
  0.062   0.100   1.126  -0.692   1.242   0.592 20180215 015
 -0.003  -0.095   1.127  -0.699   1.306   0.795 20180215 016
 -0.012   0.108   1.185  -0.923   1.256   0.816 20180216 009
 -0.134  -0.062   1.336  -0.658   1.228   0.721 20180216 010
  0.049  -0.139   1.212  -0.647   1.170   0.785 20180216 011
  0.049  -0.039   1.149  -0.771   1.233   0.809 20180216 012
  0.017  -0.133   1.232  -0.678   1.182   0.811 20180216 013
 -0.030   0.068   1.277  -0.723   1.184   0.655 20180219 010
 -0.067  -0.034   1.200  -0.710   1.298   0.743 20180219 011
  0.066   0.048   1.159  -0.725   1.204   0.676 20180219 013
  0.026   0.029   1.285  -0.732   1.119   0.703 20180220 009
  0.050   0.021   1.163  -0.711   1.217   0.689 20180220 010
  0.030   0.082   1.172  -0.677   1.229   0.595 20180220 013
  0.027  -0.028   1.118  -0.695   1.284   0.723 20180220 014
 -0.019   0.022   1.208  -0.718   1.241   0.695 20180220 015
  0.005   0.095   1.193  -0.724   1.231   0.628 20180220 016
  0.045   0.058   1.218  -0.774   1.167   0.716 20180221 006
 -0.058   0.010   1.251  -0.713   1.236   0.703 20180221 008
 -0.145   0.125   1.243  -0.812   1.332   0.688 20180221 009
 -0.146   0.068   1.266  -0.791   1.309   0.722 20180221 010
 -0.048   0.097   1.199  -0.744   1.280   0.648 20180221 011
 -0.006   0.011   1.218  -0.702   1.219   0.691 20180221 012
 -0.062   0.162   1.225  -0.724   1.266   0.563 20180221 013
  0.067  -0.170   1.088  -0.285   1.275   0.455 20180221 014
  0.055   0.093   1.164  -0.632   1.212   0.538 20180222 011
  0.060   0.100   1.168  -0.652   1.203   0.553 20180222 012
  0.037  -0.025   1.177  -0.676   1.217   0.701 20180222 013
  0.251   0.012   1.116  -0.486   1.062   0.474 20180222 014
  0.013   0.056   1.192  -0.669   1.225   0.613 20180222 015
  0.056  -0.043   1.128  -0.730   1.246   0.772 20180222 016
 -0.006   0.049   1.193  -0.711   1.244   0.662 20180222 017
  0.057   0.030   1.190  -0.699   1.182   0.669 20180222 018
  0.064   0.065   1.173  -0.711   1.193   0.645 20180222 019
 -0.021   0.121   1.232  -0.749   1.220   0.627 20180222 020
 -0.045   0.142   1.199  -0.800   1.275   0.657 20180223 010
  0.121  -0.018   1.090  -0.591   1.220   0.608 20180223 011
  0.231   0.056   1.055  -0.455   1.145   0.398 20180223 012
 -0.036   0.011   1.186  -0.678   1.279   0.667 20180223 013
  0.159  -0.066   1.227  -0.600   1.045   0.665 20180223 014
  0.023   0.124   1.192  -0.626   1.216   0.501 20180223 015
  0.015  -0.020   1.240  -0.678   1.175   0.698 20180223 016
  0.187   0.009   1.075  -0.561   1.167   0.551 20180223 017
  0.014   0.121   1.215  -0.785   1.201   0.664 20180224 003
 -0.034   0.040   1.207  -0.792   1.257   0.753 20180224 004
 -0.105   0.110   1.235  -0.786   1.299   0.675 20180224 005
 -0.020  -0.095   1.054  -0.818   1.396   0.914 20180224 006
 -0.042   0.050   1.207  -0.695   1.264   0.644 20180224 007
  0.091   0.016   1.179  -0.673   1.160   0.656 20180224 008
  0.007   0.075   1.186  -0.778   1.238   0.702 20180224 009
  0.020   0.062   1.222  -0.699   1.189   0.638 20180224 010
 -0.050  -0.051   1.100  -0.683   1.380   0.733 20180307 002
 -0.051   0.115   1.304  -0.724   1.178   0.609 20180307 003
  0.066   0.116   1.148  -0.785   1.217   0.668 20180307 004
 -0.037   0.040   1.226  -0.720   1.242   0.680 20180307 006
  0.736  -0.013   0.848   0.002   0.847   0.011 20180308 002
 -0.069   0.157   1.238   0.755   1.260  -0.912 20180309 001
 -0.010   0.143   1.207   0.749   1.232  -0.893 20180309 002
 -0.507   0.657   0.522  -0.171   2.414  -0.487 20180309 003
 -0.381   0.197   0.978   0.152   1.833  -0.350 20180309 004
 -0.062  -0.001   1.183  -0.717   1.310   0.719 20180309 007
 -0.012   0.102   1.286  -0.663   1.155   0.561 20180309 012
  0.716  -0.039   0.857   0.016   0.856   0.022 20180310 002
 -0.049   0.115   1.270  -0.648   1.208   0.534 20180310 006
  0.655  -0.013   0.922  -0.178   0.852   0.192 20180310 007
 -0.195   0.041   1.316  -0.700   1.309   0.658 20180311 007
 -0.038   0.020   1.274  -0.840   1.195   0.820 20180311 008
 -0.163  -0.035   1.301  -0.696   1.292   0.730 20180311 009
 -0.008   0.075   1.185  -0.614   1.254   0.540 20180311 010
  0.041  -0.051   1.217  -0.668   1.173   0.718 20180312 006
 -0.036  -0.040   1.202  -0.594   1.264   0.633 20180312 007
 -0.020  -0.031   1.255  -0.637   1.194   0.667 20180312 008
 -0.012   0.118   1.206  -0.806   1.237   0.688 20180312 009
 -0.028  -0.045   1.266  -0.660   1.191   0.704 20180312 010
  0.046   0.016   1.188  -0.759   1.196   0.743 20180312 014
  0.067   0.155   1.203  -0.751   1.160   0.597 20180313 007
