 980.57  33.55 /scratch/projects/hetdex/lib_calib/202301/i033aLLcbxt.fits                      
 982.05  35.15 /scratch/projects/hetdex/lib_calib/202301/i033aLUcbxt.fits                      
 980.81  23.40 /scratch/projects/hetdex/lib_calib/202301/i033aRLcbxt.fits                      
 980.99  21.62 /scratch/projects/hetdex/lib_calib/202301/i033aRUcbxt.fits                      
 981.98  24.28 /scratch/projects/hetdex/lib_calib/202301/i034aLLcbxt.fits                      
 983.16  27.50 /scratch/projects/hetdex/lib_calib/202301/i034aLUcbxt.fits                      
 982.39  28.15 /scratch/projects/hetdex/lib_calib/202301/i034aRLcbxt.fits                      
 980.98  26.72 /scratch/projects/hetdex/lib_calib/202301/i034aRUcbxt.fits                      
 982.52  28.49 /scratch/projects/hetdex/lib_calib/202301/i035aLLcbxt.fits                      
 983.61  30.75 /scratch/projects/hetdex/lib_calib/202301/i035aLUcbxt.fits                      
 983.76  21.31 /scratch/projects/hetdex/lib_calib/202301/i035aRLcbxt.fits                      
 980.80  20.02 /scratch/projects/hetdex/lib_calib/202301/i035aRUcbxt.fits                      
 982.12  31.23 /scratch/projects/hetdex/lib_calib/202301/i036aLLcbxt.fits                      
 983.44  33.05 /scratch/projects/hetdex/lib_calib/202301/i036aLUcbxt.fits                      
 983.86  23.86 /scratch/projects/hetdex/lib_calib/202301/i036aRLcbxt.fits                      
 982.37  20.88 /scratch/projects/hetdex/lib_calib/202301/i036aRUcbxt.fits                      
 982.94  28.16 /scratch/projects/hetdex/lib_calib/202301/i037aLLcbxt.fits                      
 984.41  30.94 /scratch/projects/hetdex/lib_calib/202301/i037aLUcbxt.fits                      
 982.83  28.31 /scratch/projects/hetdex/lib_calib/202301/i037aRLcbxt.fits                      
 982.34  25.59 /scratch/projects/hetdex/lib_calib/202301/i037aRUcbxt.fits                      
 980.97  30.97 /scratch/projects/hetdex/lib_calib/202301/i038aLLcbxt.fits                      
