  17.22  -7.93 /scratch/projects/hetdex/lib_calib/202301/i033aLLcbwt.fits                      
  24.61   1.82 /scratch/projects/hetdex/lib_calib/202301/i033aLUcbwt.fits                      
  25.41   2.24 /scratch/projects/hetdex/lib_calib/202301/i033aRLcbwt.fits                      
  16.55  -7.16 /scratch/projects/hetdex/lib_calib/202301/i033aRUcbwt.fits                      
  18.49  -8.04 /scratch/projects/hetdex/lib_calib/202301/i034aLLcbwt.fits                      
  23.87   1.17 /scratch/projects/hetdex/lib_calib/202301/i034aLUcbwt.fits                      
  26.12   1.61 /scratch/projects/hetdex/lib_calib/202301/i034aRLcbwt.fits                      
  17.47  -7.53 /scratch/projects/hetdex/lib_calib/202301/i034aRUcbwt.fits                      
  18.99  -8.56 /scratch/projects/hetdex/lib_calib/202301/i035aLLcbwt.fits                      
  23.23   1.33 /scratch/projects/hetdex/lib_calib/202301/i035aLUcbwt.fits                      
  25.41   2.37 /scratch/projects/hetdex/lib_calib/202301/i035aRLcbwt.fits                      
  16.01  -7.07 /scratch/projects/hetdex/lib_calib/202301/i035aRUcbwt.fits                      
  13.60  -6.45 /scratch/projects/hetdex/lib_calib/202301/i036aLLcbwt.fits                      
  29.08   3.55 /scratch/projects/hetdex/lib_calib/202301/i036aLUcbwt.fits                      
  30.13   3.89 /scratch/projects/hetdex/lib_calib/202301/i036aRLcbwt.fits                      
  12.62  -5.66 /scratch/projects/hetdex/lib_calib/202301/i036aRUcbwt.fits                      
  17.92  -7.94 /scratch/projects/hetdex/lib_calib/202301/i037aLLcbwt.fits                      
  24.55   1.47 /scratch/projects/hetdex/lib_calib/202301/i037aLUcbwt.fits                      
  24.79   1.84 /scratch/projects/hetdex/lib_calib/202301/i037aRLcbwt.fits                      
  17.02  -7.87 /scratch/projects/hetdex/lib_calib/202301/i037aRUcbwt.fits                      
  18.50  -8.66 /scratch/projects/hetdex/lib_calib/202301/i038aLLcbwt.fits                      
  24.77   1.69 /scratch/projects/hetdex/lib_calib/202301/i038aLUcbwt.fits                      
  25.88   2.14 /scratch/projects/hetdex/lib_calib/202301/i038aRLcbwt.fits                      
  16.64  -7.71 /scratch/projects/hetdex/lib_calib/202301/i038aRUcbwt.fits                      
  18.29  -8.53 /scratch/projects/hetdex/lib_calib/202301/i039aLLcbwt.fits                      
  25.35   1.73 /scratch/projects/hetdex/lib_calib/202301/i039aLUcbwt.fits                      
  27.43   2.62 /scratch/projects/hetdex/lib_calib/202301/i039aRLcbwt.fits                      
  14.92  -6.63 /scratch/projects/hetdex/lib_calib/202301/i039aRUcbwt.fits                      
