1.172 0.875 /scratch/projects/hetdex/lib_calib/202301/i013aLLcmbf.fits                      
0.847 1.028 /scratch/projects/hetdex/lib_calib/202301/i013aLUcmbf.fits                      
0.905 1.007 /scratch/projects/hetdex/lib_calib/202301/i013aRLcmbf.fits                      
1.203 0.877 /scratch/projects/hetdex/lib_calib/202301/i013aRUcmbf.fits                      
1.194 0.830 /scratch/projects/hetdex/lib_calib/202301/i014aLLcmbf.fits                      
0.818 1.036 /scratch/projects/hetdex/lib_calib/202301/i014aLUcmbf.fits                      
0.896 1.062 /scratch/projects/hetdex/lib_calib/202301/i014aRLcmbf.fits                      
1.140 0.918 /scratch/projects/hetdex/lib_calib/202301/i014aRUcmbf.fits                      
1.960 0.544 /scratch/projects/hetdex/lib_calib/202301/i015aLLcmbf.fits                      
0.874 1.031 /scratch/projects/hetdex/lib_calib/202301/i015aLUcmbf.fits                      
0.911 1.041 /scratch/projects/hetdex/lib_calib/202301/i015aRLcmbf.fits                      
1.141 0.901 /scratch/projects/hetdex/lib_calib/202301/i015aRUcmbf.fits                      
1.113 0.913 /scratch/projects/hetdex/lib_calib/202301/i016aLLcmbf.fits                      
0.830 1.012 /scratch/projects/hetdex/lib_calib/202301/i016aLUcmbf.fits                      
0.855 1.011 /scratch/projects/hetdex/lib_calib/202301/i016aRLcmbf.fits                      
1.223 0.859 /scratch/projects/hetdex/lib_calib/202301/i016aRUcmbf.fits                      
1.070 0.939 /scratch/projects/hetdex/lib_calib/202301/i021aLLcmbf.fits                      
0.889 1.012 /scratch/projects/hetdex/lib_calib/202301/i021aLUcmbf.fits                      
0.912 1.025 /scratch/projects/hetdex/lib_calib/202301/i021aRLcmbf.fits                      
1.187 0.901 /scratch/projects/hetdex/lib_calib/202301/i021aRUcmbf.fits                      
1.135 0.904 /scratch/projects/hetdex/lib_calib/202301/i022aLLcmbf.fits                      
0.862 1.074 /scratch/projects/hetdex/lib_calib/202301/i022aLUcmbf.fits                      
0.830 1.066 /scratch/projects/hetdex/lib_calib/202301/i022aRLcmbf.fits                      
1.182 0.888 /scratch/projects/hetdex/lib_calib/202301/i022aRUcmbf.fits                      
1.068 0.940 /scratch/projects/hetdex/lib_calib/202301/i023aLLcmbf.fits                      
0.863 1.066 /scratch/projects/hetdex/lib_calib/202301/i023aLUcmbf.fits                      
0.976 0.979 /scratch/projects/hetdex/lib_calib/202301/i023aRLcmbf.fits                      
1.345 0.830 /scratch/projects/hetdex/lib_calib/202301/i023aRUcmbf.fits                      
1.056 0.948 /scratch/projects/hetdex/lib_calib/202301/i024aLLcmbf.fits                      
0.828 1.047 /scratch/projects/hetdex/lib_calib/202301/i024aLUcmbf.fits                      
0.885 1.019 /scratch/projects/hetdex/lib_calib/202301/i024aRLcmbf.fits                      
1.237 0.870 /scratch/projects/hetdex/lib_calib/202301/i024aRUcmbf.fits                      
1.125 0.911 /scratch/projects/hetdex/lib_calib/202301/i025aLLcmbf.fits                      
0.860 1.051 /scratch/projects/hetdex/lib_calib/202301/i025aLUcmbf.fits                      
0.871 1.047 /scratch/projects/hetdex/lib_calib/202301/i025aRLcmbf.fits                      
1.127 0.909 /scratch/projects/hetdex/lib_calib/202301/i025aRUcmbf.fits                      
