multiframe start_shot stop_shot num_shots mf_ifu done id
multi_306_043_057_RU 20170920v008 20180717v013 586 multi_306_043_057 False 80
multi_310_033_002_LU 20170920v008 20240731v009 7011 multi_310_033_002 False 81
multi_310_033_002_RU 20170920v008 20240731v009 7011 multi_310_033_002 False 82
multi_310_033_002_RL 20170920v008 20240731v009 6938 multi_310_033_002 False 83
multi_310_033_002_LL 20170920v008 20240731v009 7011 multi_310_033_002 False 84
multi_309_046_005_LU 20170920v008 20240731v009 7012 multi_309_046_005 False 85
multi_309_046_005_RL 20170920v008 20240731v009 7012 multi_309_046_005 False 86
multi_309_046_005_LL 20170920v008 20240731v009 7012 multi_309_046_005 False 87
multi_309_046_005_RU 20170920v008 20240731v009 7012 multi_309_046_005 False 88
multi_304_034_003_LL 20171012v014 20180717v013 700 multi_304_034_003 False 89
multi_304_034_003_LU 20171012v014 20180717v013 700 multi_304_034_003 False 90
multi_304_034_003_RL 20171012v014 20180717v013 700 multi_304_034_003 False 91
multi_304_034_003_RU 20171012v014 20180717v013 700 multi_304_034_003 False 92
multi_311_036_053_RU 20171024v007 20180717v013 631 multi_311_036_053 False 93
multi_313_037_010_RL 20171024v007 20180717v013 640 multi_313_037_010 False 94
multi_313_037_010_LU 20171024v007 20180717v013 640 multi_313_037_010 False 95
multi_313_037_010_RU 20171024v007 20180717v013 640 multi_313_037_010 False 96
multi_311_036_053_RL 20171024v007 20180717v013 631 multi_311_036_053 False 97
multi_313_037_010_LL 20171024v007 20180717v013 640 multi_313_037_010 False 98
multi_311_036_053_LL 20171024v007 20180717v013 631 multi_311_036_053 False 99
multi_302_035_041_RU 20171024v007 20180717v013 619 multi_302_035_041 False 100
multi_302_035_041_RL 20171024v007 20180717v013 619 multi_302_035_041 False 101
multi_302_035_041_LU 20171024v007 20180717v013 619 multi_302_035_041 False 102
multi_302_035_041_LL 20171024v007 20180717v013 619 multi_302_035_041 False 103
multi_311_036_053_LU 20171024v007 20180717v013 631 multi_311_036_053 False 104
multi_316_032_052_RL 20171110v003 20180717v013 588 multi_316_032_052 False 105
multi_316_032_052_LU 20171110v003 20180717v013 588 multi_316_032_052 False 106
multi_316_032_052_LL 20171110v003 20180717v013 588 multi_316_032_052 False 107
multi_312_047_065_RU 20171110v003 20180717v013 483 multi_312_047_065 False 108
multi_312_047_065_LU 20171110v003 20180717v013 483 multi_312_047_065 False 109
multi_312_047_065_LL 20171110v003 20180717v013 483 multi_312_047_065 False 110
multi_312_047_065_RL 20171110v003 20180717v013 483 multi_312_047_065 False 111
multi_315_042_073_LL 20171112v010 20180717v013 443 multi_315_042_073 False 112
multi_315_042_073_LU 20171112v010 20180717v013 443 multi_315_042_073 False 113
multi_315_042_073_RL 20171112v010 20180717v013 443 multi_315_042_073 False 114
multi_315_042_073_RU 20171112v010 20180717v013 443 multi_315_042_073 False 115
multi_316_032_052_RU 20171112v010 20180717v013 587 multi_316_032_052 False 116
multi_203_073_031_RU 20171211v002 20190325v017 1200 multi_203_073_031 False 117
multi_203_073_031_RL 20171211v002 20190325v017 1200 multi_203_073_031 False 118
multi_203_073_031_LL 20171211v002 20190325v017 1196 multi_203_073_031 False 119
multi_203_073_031_LU 20171211v002 20190325v017 1196 multi_203_073_031 False 120
multi_317_022_039_LL 20171213v002 20180717v013 563 multi_317_022_039 False 121
multi_317_022_039_LU 20171213v002 20180717v013 563 multi_317_022_039 False 122
multi_317_022_039_RL 20171213v002 20180717v013 563 multi_317_022_039 False 123
multi_317_022_039_RU 20171213v002 20180717v013 563 multi_317_022_039 False 124
multi_318_023_078_RU 20171221v003 20180717v013 521 multi_318_023_078 False 125
multi_318_023_078_LL 20171221v003 20180717v013 539 multi_318_023_078 False 126
multi_318_023_078_LU 20171221v003 20180717v013 539 multi_318_023_078 False 127
multi_318_023_078_RL 20171221v003 20180717v013 521 multi_318_023_078 False 128
multi_319_083_023_LL 20171225v015 20190325v017 1180 multi_319_083_023 False 129
multi_319_083_023_LU 20171225v015 20190325v017 1180 multi_319_083_023 False 130
multi_319_083_023_RL 20171225v015 20190325v017 1180 multi_319_083_023 False 131
multi_319_083_023_RU 20171225v015 20190325v017 1180 multi_319_083_023 False 132
multi_320_025_009_RL 20180213v008 20180219v013 34 multi_320_025_009 False 133
multi_320_025_009_LU 20180213v008 20180219v013 34 multi_320_025_009 False 134
multi_320_025_009_RU 20180213v008 20180219v013 34 multi_320_025_009 False 135
multi_320_025_009_LL 20180213v008 20180219v013 34 multi_320_025_009 False 136
multi_303_024_013_RL 20180213v008 20180717v013 469 multi_303_024_013 False 137
multi_303_024_013_RU 20180213v008 20180717v013 469 multi_303_024_013 False 138
multi_303_024_013_LU 20180213v008 20180717v013 469 multi_303_024_013 False 139
multi_303_024_013_LL 20180213v008 20180717v013 469 multi_303_024_013 False 140
multi_321_026_035_LL 20180214v008 20180717v013 450 multi_321_026_035 False 141
multi_321_026_035_LU 20180214v008 20180717v013 451 multi_321_026_035 False 142
multi_321_026_035_RL 20180214v008 20180717v013 451 multi_321_026_035 False 143
multi_321_026_035_RU 20180214v008 20180717v013 451 multi_321_026_035 False 144
multi_314_027_011_RU 20180215v004 20240731v009 6673 multi_314_027_011 False 145
multi_314_027_011_RL 20180215v004 20240731v009 6673 multi_314_027_011 False 146
multi_314_027_011_LU 20180215v004 20240731v009 6673 multi_314_027_011 False 147
multi_314_027_011_LL 20180215v004 20240731v009 6673 multi_314_027_011 False 148
multi_320_053_020_LL 20180221v006 20180717v013 411 multi_320_053_020 False 149
multi_320_053_020_LU 20180221v006 20180717v013 411 multi_320_053_020 False 150
multi_320_053_020_RL 20180221v006 20180717v013 404 multi_320_053_020 False 151
multi_320_053_020_RU 20180221v006 20180717v013 404 multi_320_053_020 False 152
multi_323_052_016_RU 20180410v004 20180717v013 231 multi_323_052_016 False 153
multi_323_052_016_RL 20180410v004 20180717v013 231 multi_323_052_016 False 154
multi_323_052_016_LL 20180410v004 20180717v013 231 multi_323_052_016 False 155
multi_323_052_016_LU 20180410v004 20180717v013 231 multi_323_052_016 False 156
multi_322_063_062_LL 20180419v008 20190325v017 862 multi_322_063_062 False 157
multi_322_063_062_LU 20180419v008 20190325v017 862 multi_322_063_062 False 158
multi_322_063_062_RL 20180419v008 20190325v017 862 multi_322_063_062 False 159
multi_322_063_062_RU 20180419v008 20190325v017 862 multi_322_063_062 False 160
multi_301_015_038_LL 20180420v006 20180717v013 220 multi_301_015_038 False 161
multi_301_015_038_LU 20180420v006 20180717v013 220 multi_301_015_038 False 162
multi_301_015_038_RL 20180420v006 20180717v013 220 multi_301_015_038 False 163
multi_301_015_038_RU 20180420v006 20180717v013 220 multi_301_015_038 False 164
multi_325_072_044_RU 20180505v007 20190325v017 831 multi_325_072_044 False 165
multi_325_072_044_LL 20180505v007 20190325v017 831 multi_325_072_044 False 166
multi_325_072_044_LU 20180505v007 20190325v017 831 multi_325_072_044 False 167
multi_325_072_044_RL 20180505v007 20190325v017 831 multi_325_072_044 False 168
multi_326_082_034_RL 20180505v007 20240731v009 6468 multi_326_082_034 False 169
multi_326_082_034_RU 20180505v007 20240731v009 6468 multi_326_082_034 False 170
multi_326_082_034_LU 20180505v007 20240731v009 6468 multi_326_082_034 False 171
multi_326_082_034_LL 20180507v008 20240731v009 6460 multi_326_082_034 False 172
multi_308_057_024_LL 20180523v015 20180619v012 39 multi_308_057_024 False 173
multi_308_057_024_LU 20180523v015 20180619v012 39 multi_308_057_024 False 174
multi_308_057_024_RL 20180523v015 20180619v012 39 multi_308_057_024 False 175
multi_308_057_024_RU 20180523v015 20180619v012 39 multi_308_057_024 False 176
multi_324_062_055_RU 20180523v015 20190215v017 608 multi_324_062_055 False 177
multi_324_062_055_LL 20180523v015 20190215v017 608 multi_324_062_055 False 178
multi_324_062_055_LU 20180523v015 20190215v017 608 multi_324_062_055 False 179
multi_324_062_055_RL 20180523v015 20190215v017 608 multi_324_062_055 False 180
multi_327_092_017_RU 20180705v006 20190325v017 666 multi_327_092_017 False 181
multi_327_092_017_RL 20180705v006 20190325v017 666 multi_327_092_017 False 182
multi_327_092_017_LL 20180705v006 20190325v017 666 multi_327_092_017 False 183
multi_327_092_017_LU 20180705v006 20190325v017 666 multi_327_092_017 False 184
multi_204_077_037_LL 20180805v009 20190325v017 639 multi_204_077_037 False 185
multi_204_077_037_LU 20180805v009 20190325v017 639 multi_204_077_037 False 186
multi_204_077_037_RL 20180805v009 20190325v017 639 multi_204_077_037 False 187
multi_204_077_037_RU 20180805v009 20190325v017 639 multi_204_077_037 False 188
multi_317_024_039_RL 20180805v009 20191127v003 1414 multi_317_024_039 False 189
multi_317_024_039_LU 20180805v009 20191127v003 1414 multi_317_024_039 False 190
multi_317_024_039_RU 20180805v009 20191127v003 1414 multi_317_024_039 False 191
multi_317_024_039_LL 20180805v009 20191127v003 1414 multi_317_024_039 False 192
multi_316_022_052_RL 20180805v009 20240731v009 6310 multi_316_022_052 False 193
multi_316_022_052_RU 20180805v009 20240731v009 6310 multi_316_022_052 False 194
multi_316_022_052_LU 20180805v009 20240731v009 6310 multi_316_022_052 False 195
multi_318_026_078_LL 20180805v009 20240731v009 6319 multi_318_026_078 False 196
multi_315_021_073_RU 20180805v009 20240731v009 6310 multi_315_021_073 False 197
multi_315_021_073_RL 20180805v009 20240731v009 6310 multi_315_021_073 False 198
multi_315_021_073_LU 20180805v009 20240731v009 6310 multi_315_021_073 False 199
multi_313_023_010_RU 20180805v009 20240731v009 6125 multi_313_023_010 False 200
multi_313_023_010_RL 20180805v009 20240731v009 6289 multi_313_023_010 False 201
multi_313_023_010_LU 20180805v009 20240731v009 6289 multi_313_023_010 False 202
multi_316_022_052_LL 20180805v009 20240731v009 6310 multi_316_022_052 False 203
multi_315_021_073_LL 20180805v009 20240731v009 6307 multi_315_021_073 False 204
multi_303_025_013_RU 20180805v009 20240731v009 6306 multi_303_025_013 False 205
multi_318_026_078_RL 20180805v009 20240731v009 6319 multi_318_026_078 False 206
multi_313_023_010_LL 20180805v009 20240731v009 6289 multi_313_023_010 False 207
multi_323_043_040_RU 20180805v009 20240731v009 6319 multi_323_043_040 False 208
multi_323_043_040_RL 20180805v009 20240731v009 6202 multi_323_043_040 False 209
multi_323_043_040_LU 20180805v009 20240731v009 6319 multi_323_043_040 False 210
multi_323_043_040_LL 20180805v009 20240731v009 6319 multi_323_043_040 False 211
